-3.480	-19.50	36.72		
3.92	-17.87	35.10		
4.14	-16.57	2		
2.20	-23.07	40.63		
2.66	-22.10	39.32		
3.11	-20.80	38.02		
3.70	-19.50	36.72		
3.92	-17.87	35.10		
4.14	-16.57	2		
2.20	-23.07	40.63		
2.66	-22.10	39.32		
3.11	-20.80	38.02		
3.70	-19.50	36.72		
3.92	-17.87	35.10		
4.14	-16.57	-0.00		
-0.06	0.00	-0.65		
0.25	0.00	-0.65		
0.64	0.00	-0.97		
0.82	0.00	-1.30		
0.82	0.00	-1.63		
1.16	0.00	-1.95		
1.65	0.32	-2.27		
2.09	0.65	-2.93		
2.62	1.63	-3.57		
3.40	2.27	-4.55		
4.25	3.25	-5.52		
5.39	4.55	-6.50		
6.74	6.50	-8.45		
8.22	9.10	-10.07		
9.90	12.02	-12.67		
11.59	15.60	-15.27		
13.43	19.50	-18.85		
15.56	24.05	-22.75		
17.44	29.25	-26.97		
19.20	32.18	-29.25		
20.61	37.05	-30.87		
21.78	41.27	-31.20		
21.58	46.47	-31.85		
19.37	48.75	-31.85		
17.31	50.05	-31.85		
15.13	51.02	-31.85		
12.94	51.35	-31.85		
10.78	51.35	-31.85		
8.68	51.35	-31.85		
6.61	51.35	-31.85		
4.48	52.32	-31.85		
1.87	53.30	-31.85		
-1.49	53.30	-32.18		
-3.47	52.32	-32.82		
-5.41	50.38	-32.82		
-7.58	47.77	-32.82		
-9.91	44.52	-32.50		
-11.59	40.95	-32.18		
-14.96	36.40	-31.20		
-18.44	31.52	-29.25		
-23.42	26.65	-26.65		
-28.37	20.47	-22.10		
-33.43	13.32	-16.90		
-38.84	5.20	-9.75		
-43.54	-4.23	-1.63		
-46.19	-10.07	4.88		
-48.27	-12.35	13.00		
-49.93	-13.32	21.12		
-48.61	-13.65	24.70		
-47.51	-13.97	27.95		
-45.32	-14.30	30.55		
-43.58	-14.30	32.50		
-41.58	-14.30	34.13		
-37.98	-14.30	34.77		
-35.85	-13.97	35.43		
-33.34	-14.30	35.75		
-31.64	-13.97	36.07		
-30.07	-13.97	36.07		
-28.71	-13.97	36.07		
-27.50	-13.97	35.75		
-26.65	-13.97	35.75		
-25.85	-13.97	35.75		
-25.08	-13.97	35.43		
-24.51	-13.97	35.43		
-23.83	-13.97	35.43		
-22.95	-13.97	35.43		
-21.76	-13.97	35.75		
-20.30	-15.60	35.75		
-18.61	-18.85	35.75		
-17.37	-21.45	35.75		
-16.78	-23.72	36.72		
-15.72	-24.05	38.68		
-14.60	-24.05	39.97		
-13.92	-24.05	40.95		
-12.45	-24.37	42.25		
-10.79	-24.37	42.25		
-9.10	-24.37	42.90		
-7.37	-24.37	42.90		
-5.68	-24.37	42.90		
-4.34	-24.37	42.90		
-3.18	-24.37	42.90		
-2.11	-24.37	42.90		
-0.70	-24.37	42.90		
1.70	-24.37	42.57		
4.29	-23.72	41.93		
7.35	-22.42	39.97		
